1-12/2024,1-6/2024,1-6/2025,
"259,932","104,551","201,008",תוינמה ילעבל סחוימ הפוקתל ללוכ חוור
"972,122","903,775","1,178,249",הפוקת ףוסל תוינמה ילעבל סחוימ עצוממ ןוה
27%,23%,34%,)*( ןוהה לע האושת
