ףדוע יסנניפ חוורמ,הבילה תוליעפמ חוור,"סמ ינפל ללוכ חוור כ""הס",
")13,240(","27,432","14,192",1-6/2025
")20,969(","39,264","18,295",1-6/2024
"7,729",")11,832(",")4,103(",יוניש
