רחא,שוכר בכר,הבוח בכר,"חוור כ""הס",
145,"3,794","16,757","20,696",4-6/2025
)95(,"5,811","21,563","27,278",4-6/2024
240,")2,017(",")4,805(",")6,582(",יוניש
