ףדוע יסנניפ חוורמ,הבילה תוליעפמ חוור,"סמ ינפל ללוכ חוור כ""הס",
")11,863(","20,696","8,834",4-6/2025
")22,083(","27,278","5,195",4-6/2024
"10,220",")6,582(","3,638",יוניש
