ףדוע יסנניפ חוורמ,הבילה תוליעפמ חוור,"סמ ינפל ללוכ חוור כ""הס",
"34,112","107,650","141,762",4-6/2025
")47,847(","92,393","44,546",4-6/2024
"81,959","15,257","97,216",יוניש
