ףדוע יסנניפ חוורמ,תודחוימ תועפשה,תוליעפמ חוור,"ללוכ חוור כ""הס",
הבילה,סמ ינפל,,,
"1,851",")2,052(","30,841","30,640",1-6/2025
")13,889(","3,143","43,632","32,886",1-6/2024
"15,740",")5,195(",")12,791(",")2,246(",יוניש
