םיסימ,ףדוע יסנניפ חוורמ,תודחוימ תועפשה,הבילה תוליעפמ חוור,"ללוכ חוור כ""הס",
")62,555(","22,348",-,"184,506","144,299",4-6/2025
")36,656(",")83,678(","4,951","190,568","75,185",4-6/2024
")25,899(","106,026",")4,951(",")6,062(","69,114",יוניש
