רחאו ןוה,תואירב חוטיב,םייח חוטיב,,,,
חווט ךורא ןוכסיחו,יללכ חוטיב,"חוור כ""הס",,,,
רושיוו,ןולייא,,,,,
"2,866","34,191","19,103","20,696","107,650","184,506",4-6/2025
")8,669(","37,581","41,985","27,278","92,393","190,568",4-6/2024
"11,535",")3,390(",")22,882(",")6,582(","15,257",")6,062(",יוניש
