376,485 366,111 370,520 367,201 467,980 455,000 םייאקנב םידיגאתמ תואוולה
19,564 20,000 18,732 20,000 19,755 20,000 םייאקנב םניאש םידיגאתמ תואוולה
22,399 19,932 56,124 56,146 23,084 20,307 םאה תרבחמ תואוולה
291,113 294,438 283,745 294,156 183,769 184,615 בוח תורגא
709,561 700,481 729,121 737,503 694,588 679,922 תויסנניפ תויובייחתה לכה ךס
3-102,,,,,,
