המייתסהש הנשל םישדוח 3 לש הפוקתל םישדוח 6 לש הפוקתל
שוכר בכר ףנע
רבמצדב 31 םויב ינויב 30 םויב המייתסהש ינויב 30 םויב המייתסהש
2024 2024 2025 2024 2025
90% 84% 89% 86% 92% וטורב Combined Ratio
91% 84% 90% 87% 92% רייש Combined Ratio
