631,303 623,403 7,900 2024,ראוניב 1 םויל הרתי
:ורכוהש םיחוור ךס,,,,
9,905 9,713 192 )*( דספה וא חוורב,,
34,177 34,177 - תושיכר,,
)4,413( )4,413( - תוריכמ,,
670,972 662,880 8,092 2024,ינויב 30 םויל הרתי
ןיגב דספהו חוורב ורכוהשו ושמומ אלש הפוקתל םיחוורה ךס,,,,
10,800 10,608 192 2024 ינויב 30 םויל ןוכנ םיקזחומה םיסכנ,,
